Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB
haus1257	lapsyd	hausa_haus1257	43	31	12	phoible	haus1257-2188	42	32	10	0.81	0.91	w e oː g aː au gʲ kʼ dʒ sʼ i u z j ai ʃ o tʃ s h kʼʷ ɽ l n ʔʲ k ɓ d b uː kʼʲ gʷ a t ɸ̞ r m kʷ kʲ iː ɗ ʔ eː	aː b ɓ d dʒ ɗ e eː ə g gʲ gʷ h i iː j k kʲ kʼʲ kʷ kʼʷ kʼ l m n o oː ɸ r ɽ s ʃ t tsʼ tʃ tʃʼ u uː w z ʔ ʔʲ
haus1257	upsid	haus1257-351	38	31	7	phoible	haus1257-2188	42	32	10	0.63	0.79	a ai au b ɓ d dʒ ɗ e̞ g gʲ gʷ h i j j̰ k kʲ kʼʲ kʷ kʼʷ kʼ l m n o̞ ɸ r ɽ s sˀ ʃ t tʃ u w z ʔ	aː b ɓ d dʒ ɗ e eː ə g gʲ gʷ h i iː j k kʲ kʼʲ kʷ kʼʷ kʼ l m n o oː ɸ r ɽ s ʃ t tsʼ tʃ tʃʼ u uː w z ʔ ʔʲ
hebr1245	jipa	hebrew	30	25	5	lapsyd	hebrewmodernashkenazic_hebr1245	26	21	5	0.81	0.88	p b t d k g ʔ m n r f v s z ʃ ʒ χ ħ h j ʕ l ts tʃ dʒ i e a o u	l p f k z b s j ʀ d g v χ u i a ʒ h n e m ʔ t ts o ʃ
hebr1245	jipa	hebrew	30	25	5	phoible	hebr1245-2189	27	22	5	0.90	0.95	p b t d k g ʔ m n r f v s z ʃ ʒ χ ħ h j ʕ l ts tʃ dʒ i e a o u	a b d e f g h ħ i j k l m n o p r s ʃ t u v z ʒ ʔ ʕ χ
hebr1245	lapsyd	hebrewmodernashkenazic_hebr1245	26	21	5	phoible	hebr1245-2189	27	22	5	0.83	0.92	l p f k z b s j ʀ d g v χ u i a ʒ h n e m ʔ t ts o ʃ	a b d e f g h ħ i j k l m n o p r s ʃ t u v z ʒ ʔ ʕ χ
hind1269	jipa	hindi	85	64	21	lapsyd	hindi_hind1269	58	38	20	0.59	0.79	p b pʰ bʱ t̪ d̪ t̪ʰ d̪ʱ ʈ ɖ ʈʰ ɖʱ k g kʰ gʱ tʃ dʒ tʃʰ dʒʱ m n ŋ ɾ ɽ ɽʱ f s z ʃ h ʋ j l pː bː pʰː t̪ː t̪ʰː d̪ː dʱː tʃː ʈː ɖː ʈʲʰː ɖʱː kː gː kʰː gʱː dʒː tʃʰː dʒʱː mː nː ŋː r fː sː zː ʃː ʋː jː lː i ɪ e ɛ æ ə ɑ ɔ o ʊ u ĩ ɪ̃ ẽ ɛ̃ ɑ̃ ɔ̃ ə̃ õ ʊ̃ ũ	k f ɾʱ z l ə ɽʱ ɽ gʱ tʃʰ pʰ t̪ b g õ ɑ̃ ʈ dʒ m ĩ ɖʱ i ŋ ʊ ɛ̃ dʒʱ ɖ ẽ s t̪ʰ æ bʱ ũ ʈʰ ɾ ɪ ʃ kʰ e p lʱ ɛ n̪ʱ tʃ j mʱ n̪ ɪ̃ ɔ̃ ɑ ʊ̃ d̪ o ɔ h ʋ ə̃ d̪ʱ
hind1269	jipa	hindi	85	64	21	upsid	hind1269-354	61	40	21	0.33	0.62	p b pʰ bʱ t̪ d̪ t̪ʰ d̪ʱ ʈ ɖ ʈʰ ɖʱ k g kʰ gʱ tʃ dʒ tʃʰ dʒʱ m n ŋ ɾ ɽ ɽʱ f s z ʃ h ʋ j l pː bː pʰː t̪ː t̪ʰː d̪ː dʱː tʃː ʈː ɖː ʈʲʰː ɖʱː kː gː kʰː gʱː dʒː tʃʰː dʒʱː mː nː ŋː r fː sː zː ʃː ʋː jː lː i ɪ e ɛ æ ə ɑ ɔ o ʊ u ĩ ɪ̃ ẽ ɛ̃ ɑ̃ ɔ̃ ə̃ õ ʊ̃ ũ	aː ãː æː b bʱ d̪ d̪ʱ dʒ dʒʱ ɖ ɖʱ eː ẽː ɛ ɛ̃ ɜ ɜ̃ f g gʱ ɦ iː ĩː ɪ ɪ̃ j k kʰ l lʱ m mʱ n̪ n̪ʱ oː õː ɔ ɔ̃ p pʰ q r ɽ̃ ʁ s ʃ t̪ t̪ʰ tʃ tʃʰ ʈ ʈʰ uː ũː ʊ ʊ̃ z ʒ ʔ β̞ χ
hind1269	jipa	hindi	85	64	21	phoible	hind1269-2190	74	63	11	0.81	0.92	p b pʰ bʱ t̪ d̪ t̪ʰ d̪ʱ ʈ ɖ ʈʰ ɖʱ k g kʰ gʱ tʃ dʒ tʃʰ dʒʱ m n ŋ ɾ ɽ ɽʱ f s z ʃ h ʋ j l pː bː pʰː t̪ː t̪ʰː d̪ː dʱː tʃː ʈː ɖː ʈʲʰː ɖʱː kː gː kʰː gʱː dʒː tʃʰː dʒʱː mː nː ŋː r fː sː zː ʃː ʋː jː lː i ɪ e ɛ æ ə ɑ ɔ o ʊ u ĩ ɪ̃ ẽ ɛ̃ ɑ̃ ɔ̃ ə̃ õ ʊ̃ ũ	æ ɑ b bʱ bː d̪ d̪ʱ d̪ː d̪ʱː dʒ dʒʱ dʒː dʒʱː ɖ ɖʱ ɖː ɖʱː e ə ɛ f fː g gʱ gː gʱː h i ɪ j k kː kʰ kʰː l lː m mː n nː ŋ ŋː o ɔ p pː pʰ pʰː rː ɽ ɽʱ ɾ s sː ʃ ʃː t̪ t̪ː t̪ʰ t̪ʰː tʃ tʃː tʃʰ tʃʰː ʈ ʈː ʈʰ ʈʰː u ʊ ʋ ʋː z zː
hind1269	lapsyd	hindi_hind1269	58	38	20	upsid	hind1269-354	61	40	21	0.49	0.80	k f ɾʱ z l ə ɽʱ ɽ gʱ tʃʰ pʰ t̪ b g õ ɑ̃ ʈ dʒ m ĩ ɖʱ i ŋ ʊ ɛ̃ dʒʱ ɖ ẽ s t̪ʰ æ bʱ ũ ʈʰ ɾ ɪ ʃ kʰ e p lʱ ɛ n̪ʱ tʃ j mʱ n̪ ɪ̃ ɔ̃ ɑ ʊ̃ d̪ o ɔ h ʋ ə̃ d̪ʱ	aː ãː æː b bʱ d̪ d̪ʱ dʒ dʒʱ ɖ ɖʱ eː ẽː ɛ ɛ̃ ɜ ɜ̃ f g gʱ ɦ iː ĩː ɪ ɪ̃ j k kʰ l lʱ m mʱ n̪ n̪ʱ oː õː ɔ ɔ̃ p pʰ q r ɽ̃ ʁ s ʃ t̪ t̪ʰ tʃ tʃʰ ʈ ʈʰ uː ũː ʊ ʊ̃ z ʒ ʔ β̞ χ
hind1269	lapsyd	hindi_hind1269	58	38	20	phoible	hind1269-2190	74	63	11	0.48	0.60	k f ɾʱ z l ə ɽʱ ɽ gʱ tʃʰ pʰ t̪ b g õ ɑ̃ ʈ dʒ m ĩ ɖʱ i ŋ ʊ ɛ̃ dʒʱ ɖ ẽ s t̪ʰ æ bʱ ũ ʈʰ ɾ ɪ ʃ kʰ e p lʱ ɛ n̪ʱ tʃ j mʱ n̪ ɪ̃ ɔ̃ ɑ ʊ̃ d̪ o ɔ h ʋ ə̃ d̪ʱ	æ ɑ b bʱ bː d̪ d̪ʱ d̪ː d̪ʱː dʒ dʒʱ dʒː dʒʱː ɖ ɖʱ ɖː ɖʱː e ə ɛ f fː g gʱ gː gʱː h i ɪ j k kː kʰ kʰː l lː m mː n nː ŋ ŋː o ɔ p pː pʰ pʰː rː ɽ ɽʱ ɾ s sː ʃ ʃː t̪ t̪ː t̪ʰ t̪ʰː tʃ tʃː tʃʰ tʃʰː ʈ ʈː ʈʰ ʈʰː u ʊ ʋ ʋː z zː
hind1269	upsid	hind1269-354	61	40	21	phoible	hind1269-2190	74	63	11	0.30	0.53	aː ãː æː b bʱ d̪ d̪ʱ dʒ dʒʱ ɖ ɖʱ eː ẽː ɛ ɛ̃ ɜ ɜ̃ f g gʱ ɦ iː ĩː ɪ ɪ̃ j k kʰ l lʱ m mʱ n̪ n̪ʱ oː õː ɔ ɔ̃ p pʰ q r ɽ̃ ʁ s ʃ t̪ t̪ʰ tʃ tʃʰ ʈ ʈʰ uː ũː ʊ ʊ̃ z ʒ ʔ β̞ χ	æ ɑ b bʱ bː d̪ d̪ʱ d̪ː d̪ʱː dʒ dʒʱ dʒː dʒʱː ɖ ɖʱ ɖː ɖʱː e ə ɛ f fː g gʱ gː gʱː h i ɪ j k kː kʰ kʰː l lː m mː n nː ŋ ŋː o ɔ p pː pʰ pʰː rː ɽ ɽʱ ɾ s sː ʃ ʃː t̪ t̪ː t̪ʰ t̪ʰː tʃ tʃː tʃʰ tʃʰː ʈ ʈː ʈʰ ʈʰː u ʊ ʋ ʋː z zː
hung1274	jipa	hungarian	68	50	18	lapsyd	hungarian_hung1274	40	26	14	0.33	0.52	p b t d k g ts dz tʃ dʒ cç ɟʝ m n ɲ f v s z ʃ ʒ h r j l pː bː tː dː kː gː tsː dzː tʃː dʒː cçː ɟʝː mː nː ɲː fː vː sː zː ʃː ʒː hː rː jː lː iː i yː y øː ø eː eˑ ɛ uː u oː oˑ o ɑ aː ɑː ɛː	o ʃ tʃ ts̪ r̪ ɒ g p f aː øː eː yː t̪ iː ʒ ø i d̪ y dʒ oː ɲ b m c z̪ n̪ u dz̪ h l̪ j s̪ ɟ ɛ k v uː w
hung1274	jipa	hungarian	68	50	18	upsid	hung1274-358	40	26	14	0.37	0.57	p b t d k g ts dz tʃ dʒ cç ɟʝ m n ɲ f v s z ʃ ʒ h r j l pː bː tː dː kː gː tsː dzː tʃː dʒː cçː ɟʝː mː nː ɲː fː vː sː zː ʃː ʒː hː rː jː lː iː i yː y øː ø eː eˑ ɛ uː u oː oˑ o ɑ aː ɑː ɛː	aː ɒ b cç d̪ dz̪ dʒ eː ɛ f g h i iː j ɟʝ k l̪ m n̪ ɲ o ø oː øː p r̪ s̪ ʃ t̪ ts̪ tʃ u uː v w y yː z̪ ʒ
hung1274	lapsyd	hungarian_hung1274	40	26	14	upsid	hung1274-358	40	26	14	0.90	0.97	o ʃ tʃ ts̪ r̪ ɒ g p f aː øː eː yː t̪ iː ʒ ø i d̪ y dʒ oː ɲ b m c z̪ n̪ u dz̪ h l̪ j s̪ ɟ ɛ k v uː w	aː ɒ b cç d̪ dz̪ dʒ eː ɛ f g h i iː j ɟʝ k l̪ m n̪ ɲ o ø oː øː p r̪ s̪ ʃ t̪ ts̪ tʃ u uː v w y yː z̪ ʒ
ibib1240	jipa	ibibio	31	17	14	phoible	ibib1240-1057	30	17	13	0.97	0.97	b t̪ d k kp m n ɲ ŋ f s j w nː mː ɲː ŋː i e a ɔ ʌ o u aː eː ɔː oː ʌː uː iː	a aː b d e eː f i iː j k kp m mː n nː ɲ ɲː ŋ ŋː o oː ɔ ɔː s t̪ u uː ʌ w
nucl1417	jipa	igbo	38	27	11	lapsyd	igbo_nucl1417	35	27	8	0.78	0.85	p b t d k g kp gb m n ɲ ŋ f s z ʃ ɣ ɦ tʃ dʒ ɹ j w l kʷ gʷ ŋʷ i i̙ e a u u̙ o o̙ ɪ ʊ ɔ	l t̪ ɲ a e z kp n s ʊ ɣ ɪ d̪ b gb o i m tʃ ŋʷ f g ɔ kʷ k gʷ j dʒ ʃ u w ɦ p ɾ ŋ
nucl1417	jipa	igbo	38	27	11	upsid	nucl1417-365	59	43	16	0.39	0.57	p b t d k g kp gb m n ɲ ŋ f s z ʃ ɣ ɦ tʃ dʒ ɹ j w l kʷ gʷ ŋʷ i i̙ e a u u̙ o o̙ ɪ ʊ ɔ	a ã b bʱ bʲ bʲʱ ɓ ɓ̥ d dʱ dʒ dʒʱ ɗ̥ e ẽ ɛ ɛ̃ f g gʱ gʷ gʷʱ ɣ h hʷ i ĩ j k kʰ kʷ kʷʰ l m n ɲ ŋ ŋm o õ ɔ ɔ̃ p pʰ pʲ pʲʰ ɾ ɾʲ s t tʰ tʃʰ u ũ ʊ ʊ̃ v w z
nucl1417	lapsyd	igbo_nucl1417	35	27	8	upsid	nucl1417-365	59	43	16	0.38	0.54	l t̪ ɲ a e z kp n s ʊ ɣ ɪ d̪ b gb o i m tʃ ŋʷ f g ɔ kʷ k gʷ j dʒ ʃ u w ɦ p ɾ ŋ	a ã b bʱ bʲ bʲʱ ɓ ɓ̥ d dʱ dʒ dʒʱ ɗ̥ e ẽ ɛ ɛ̃ f g gʱ gʷ gʷʱ ɣ h hʷ i ĩ j k kʰ kʷ kʷʰ l m n ɲ ŋ ŋm o õ ɔ ɔ̃ p pʰ pʲ pʲʰ ɾ ɾʲ s t tʰ tʃʰ u ũ ʊ ʊ̃ v w z
indo1316	jipa	indonesian	31	22	9	lapsyd	indonesian_indo1316	28	22	6	0.84	0.92	p b t̪ d tʃ dʒ k g ʔ m n ɲ ŋ r f s z ʃ h w j l i e a u o ə ai̯ au̯ oi̯	w ə p d ŋ x a o f e h b g n s k l dʒ m u i ɲ ʃ t̪ z r j tʃ
indo1316	jipa	indonesian	31	22	9	phoible	indo1316-1144	31	22	9	1.00	1.00	p b t̪ d tʃ dʒ k g ʔ m n ɲ ŋ r f s z ʃ h w j l i e a u o ə ai̯ au̯ oi̯	a ai̯ au̯ b d dʒ e ə f g h i j k l m n ɲ ŋ o oi̯ p r s ʃ t̪ tʃ u w z ʔ
indo1316	jipa	indonesian	31	22	9	phoible	indo1316-1690	31	23	8	0.72	0.79	p b t̪ d tʃ dʒ k g ʔ m n ɲ ŋ r f s z ʃ h w j l i e a u o ə ai̯ au̯ oi̯	a b d dʒ e ə ɛ f g h i k l m n ɲ ŋ o p r s ʃ t tʃ u v w x y z ʔ
indo1316	lapsyd	indonesian_indo1316	28	22	6	phoible	indo1316-1144	31	22	9	0.84	0.92	w ə p d ŋ x a o f e h b g n s k l dʒ m u i ɲ ʃ t̪ z r j tʃ	a ai̯ au̯ b d dʒ e ə f g h i j k l m n ɲ ŋ o oi̯ p r s ʃ t̪ tʃ u w z ʔ
indo1316	lapsyd	indonesian_indo1316	28	22	6	phoible	indo1316-1690	31	23	8	0.79	0.89	w ə p d ŋ x a o f e h b g n s k l dʒ m u i ɲ ʃ t̪ z r j tʃ	a b d dʒ e ə ɛ f g h i k l m n ɲ ŋ o p r s ʃ t tʃ u v w x y z ʔ
indo1316	phoible	indo1316-1144	31	22	9	phoible	indo1316-1690	31	23	8	0.72	0.80	a ai̯ au̯ b d dʒ e ə f g h i j k l m n ɲ ŋ o oi̯ p r s ʃ t̪ tʃ u w z ʔ	a b d dʒ e ə ɛ f g h i k l m n ɲ ŋ o p r s ʃ t tʃ u v w x y z ʔ
iris1253	jipa	irish	50	35	15	lapsyd	irishdonegaldialect_iris1253	49	35	14	0.65	0.91	pˠ bˠ pʲ bʲ t̪ˠ d̪ˠ tʲ dʲ c ɟ k g fˠ w fʲ vʲ sˠ ɕ ç j x ɣ h mˠ mʲ n̪ˠ n nʲ ɲ ŋ ɾˠ ɾʲ l̪ˠ l lʲ i e ɛ æ a ɔ ʌ ə ɤ ɪ u o ia ua au	a c oː fˠ ŋ au ç fʲ i n̠ʲ bˠ ɾˠ ua ɣ eː iː n æː x pʲ d̠ʲ l ɛ l̪ˠ ɔː ɤ ia w ɟ ɲ ɕ ʌ l̠ʲ h k ɾʲ g vʲ mˠ sˠ pˠ t̠ʲ j d̪ˠ uː n̪ˠ t̪ˠ bʲ mʲ
iris1253	jipa	irish	50	35	15	upsid	iris1253-342	69	45	24	0.17	0.56	pˠ bˠ pʲ bʲ t̪ˠ d̪ˠ tʲ dʲ c ɟ k g fˠ w fʲ vʲ sˠ ɕ ç j x ɣ h mˠ mʲ n̪ˠ n nʲ ɲ ŋ ɾˠ ɾʲ l̪ˠ l lʲ i e ɛ æ a ɔ ʌ ə ɤ ɪ u o ia ua au	a ã ɑː ɑ̃ː bʲ bʷˠ ç d d̪ dʒ e̞ ẽ̞ eː ẽː əi əu g gʲ ɣ h iː ĩː iə ɪ ɪ̃ j kʰ kʲʰ l̠ lˠ l̪ˠ l̥ˠ lʲ l̥ʲ mʲ mʷˠ n̠ n̪ nˠ n̥ˠ nʲ n̥ʲ ŋ ŋʲ o̞ õ̞ oː õː pʲʰ pʷˠʰ ɸʲ ɸʷˠ ɾˠ ɾ̥ˠ ɾʲ ɾ̥ʲ s ʃ tʰ t̪ʰ tʃ uː ũː uə ʊ ʊ̃ w x βʲ
iris1253	jipa	irish	50	35	15	phoible	iris1253-2193	50	35	15	0.52	0.90	pˠ bˠ pʲ bʲ t̪ˠ d̪ˠ tʲ dʲ c ɟ k g fˠ w fʲ vʲ sˠ ɕ ç j x ɣ h mˠ mʲ n̪ˠ n nʲ ɲ ŋ ɾˠ ɾʲ l̪ˠ l lʲ i e ɛ æ a ɔ ʌ ə ɤ ɪ u o ia ua au	a æː au bˠ bʲ ç cʰ ɕ d̪ˠ dz̠ʲ eː ə ɛ ɤ fˠ fʲ g ɣ h iː ia ɪ j ɟʝ kʰ l l̪ˠ l̠ʲ mˠ mʲ n n̪ˠ n̠ʲ ɲ ŋ oː ɔː pˠʰ pʲʰ ɾˠ ɾʲ sˠ t̪ˠʰ ts̠ʲʰ uː ua vʲ ʌ w x
iris1253	lapsyd	irishdonegaldialect_iris1253	49	35	14	upsid	iris1253-342	69	45	24	0.18	0.56	a c oː fˠ ŋ au ç fʲ i n̠ʲ bˠ ɾˠ ua ɣ eː iː n æː x pʲ d̠ʲ l ɛ l̪ˠ ɔː ɤ ia w ɟ ɲ ɕ ʌ l̠ʲ h k ɾʲ g vʲ mˠ sˠ pˠ t̠ʲ j d̪ˠ uː n̪ˠ t̪ˠ bʲ mʲ	a ã ɑː ɑ̃ː bʲ bʷˠ ç d d̪ dʒ e̞ ẽ̞ eː ẽː əi əu g gʲ ɣ h iː ĩː iə ɪ ɪ̃ j kʰ kʲʰ l̠ lˠ l̪ˠ l̥ˠ lʲ l̥ʲ mʲ mʷˠ n̠ n̪ nˠ n̥ˠ nʲ n̥ʲ ŋ ŋʲ o̞ õ̞ oː õː pʲʰ pʷˠʰ ɸʲ ɸʷˠ ɾˠ ɾ̥ˠ ɾʲ ɾ̥ʲ s ʃ tʰ t̪ʰ tʃ uː ũː uə ʊ ʊ̃ w x βʲ
iris1253	lapsyd	irishdonegaldialect_iris1253	49	35	14	phoible	iris1253-2193	50	35	15	0.68	0.86	a c oː fˠ ŋ au ç fʲ i n̠ʲ bˠ ɾˠ ua ɣ eː iː n æː x pʲ d̠ʲ l ɛ l̪ˠ ɔː ɤ ia w ɟ ɲ ɕ ʌ l̠ʲ h k ɾʲ g vʲ mˠ sˠ pˠ t̠ʲ j d̪ˠ uː n̪ˠ t̪ˠ bʲ mʲ	a æː au bˠ bʲ ç cʰ ɕ d̪ˠ dz̠ʲ eː ə ɛ ɤ fˠ fʲ g ɣ h iː ia ɪ j ɟʝ kʰ l l̪ˠ l̠ʲ mˠ mʲ n n̪ˠ n̠ʲ ɲ ŋ oː ɔː pˠʰ pʲʰ ɾˠ ɾʲ sˠ t̪ˠʰ ts̠ʲʰ uː ua vʲ ʌ w x
iris1253	upsid	iris1253-342	69	45	24	phoible	iris1253-2193	50	35	15	0.21	0.58	a ã ɑː ɑ̃ː bʲ bʷˠ ç d d̪ dʒ e̞ ẽ̞ eː ẽː əi əu g gʲ ɣ h iː ĩː iə ɪ ɪ̃ j kʰ kʲʰ l̠ lˠ l̪ˠ l̥ˠ lʲ l̥ʲ mʲ mʷˠ n̠ n̪ nˠ n̥ˠ nʲ n̥ʲ ŋ ŋʲ o̞ õ̞ oː õː pʲʰ pʷˠʰ ɸʲ ɸʷˠ ɾˠ ɾ̥ˠ ɾʲ ɾ̥ʲ s ʃ tʰ t̪ʰ tʃ uː ũː uə ʊ ʊ̃ w x βʲ	a æː au bˠ bʲ ç cʰ ɕ d̪ˠ dz̠ʲ eː ə ɛ ɤ fˠ fʲ g ɣ h iː ia ɪ j ɟʝ kʰ l l̪ˠ l̠ʲ mˠ mʲ n n̪ˠ n̠ʲ ɲ ŋ oː ɔː pˠʰ pʲʰ ɾˠ ɾʲ sˠ t̪ˠʰ ts̠ʲʰ uː ua vʲ ʌ w x
ladi1251	jipa	istanbuljudeospanish	25	20	5	phoible	ladi1251-2194	34	20	14	0.64	0.85	p b t d k g tʃ dʒ f v s z ʃ ʒ x m n l r j i e a o u	a ai̯ b d̻ dʒ e ei̯ f g i ia ie io j k l m n o oi̯ p r s ʃ t̻ tʃ u ua ue ui̯ v x z ʒ
isth1244	jipa	isthmusjuchitanzapotec	34	22	12	phoible	isth1244-2218	29	22	7	0.43	0.67	p b t d k g tʃ dʒ m nː n ɲ r ɾ s z ʃ ʒ w j lː l i e a o u ḭ ḛ a̰ o̰ ṵ aˀ iˀ	ɑ e i iɑ ḭu j k k̚ l lː m n nː ɲ̟ o p p̚ r ɾ s s̚ ʃ ʃ̚ t t̚ tʃ tʃ̚ u w
ital1282	jipa	italian	30	23	7	lapsyd	italian_ital1282	30	23	7	1.00	1.00	p b t d k g m n ɲ r ts dz tʃ dʒ f v s z ʃ j w l ʎ i e ɛ a ɔ o u	w ɔ ɲ tʃ o i l ts j m p ɛ e s z r u dz n d ʎ g dʒ k t b a f ʃ v
ital1282	jipa	italian	30	23	7	phoible	ital1282-1145	30	23	7	0.94	0.97	p b t d k g m n ɲ r ts dz tʃ dʒ f v s z ʃ j w l ʎ i e ɛ a ɔ o u	ɐ b d dz dʒ e ɛ f g i j k l ʎ m n ɲ o ɔ p r s ʃ t ts tʃ u v w z
ital1282	lapsyd	italian_ital1282	30	23	7	phoible	ital1282-1145	30	23	7	0.94	0.97	w ɔ ɲ tʃ o i l ts j m p ɛ e s z r u dz n d ʎ g dʒ k t b a f ʃ v	ɐ b d dz dʒ e ɛ f g i j k l ʎ m n ɲ o ɔ p r s ʃ t ts tʃ u v w z
lish1246	jipa	itunyosotrique	47	39	8	upsid	lish1246-591	40	24	16	0.21	0.45	p t tː k kː kʷ kʷː ʔ ⁿd ⁿg ⁿgʷ ts tʃ tʃː ʈʂ ʈʂː m mː n nː cⁿ ɾ β βː s ʃ h j jː l lː ˀⁿd ˀⁿg ˀm ˀn ˀr̥ ˀβ ʔʲ ˀl i ĩ e a ə̃ u o ũ	a aː aˤ aˤː b d̪ dʒ e̞ e̞ˤ f g h i iː iˤ iˤː j k l m n̪ o̞ o̞ˤ p q ɾ ʁ s ʃ t̪ tʃ u uː uˤ uˤː z ʒ ʔ β χ
jama1262	jipa	jamaicancreole	33	21	12	phoible	jama1262-1053	33	21	12	1.00	1.00	m n ŋ p b t d k g tʃ dʒ f v s z ʃ h ɹ j w l i e a o u ai ia au ua iː aː uː	a aː ai au b d dʒ e f g h i iː ia j k l m n ŋ o p ɹ s ʃ t tʃ u uː ua v w z
nucl1643	jipa	japanese	22	17	5	lapsyd	japanese_nucl1643	25	15	10	0.38	0.63	p b t ts d ɖ k g m n ɴ s z h hː j w i e a o u	w eː z̪ a b ɯ ɾ s̪ k ɯː h g n̪ p ɴ t̪ j i e iː aː oː o m d̪
nucl1643	jipa	japanese	22	17	5	upsid	nucl1643-384	20	15	5	0.35	0.67	p b t ts d ɖ k g m n ɴ s z h hː j w i e a o u	a b d̪ ɛ g h i j k m n̪ ɴ ɔ p ɾ s̪ t̪ ɯ w z̪
nucl1643	jipa	japanese	22	17	5	phoible	nucl1643-2196	21	16	5	0.87	0.93	p b t ts d ɖ k g m n ɴ s z h hː j w i e a o u	a b d d̠ e g h i j k m n ɴ o p s t ts u w z
nucl1643	lapsyd	japanese_nucl1643	25	15	10	upsid	nucl1643-384	20	15	5	0.67	0.82	w eː z̪ a b ɯ ɾ s̪ k ɯː h g n̪ p ɴ t̪ j i e iː aː oː o m d̪	a b d̪ ɛ g h i j k m n̪ ɴ ɔ p ɾ s̪ t̪ ɯ w z̪
nucl1643	lapsyd	japanese_nucl1643	25	15	10	phoible	nucl1643-2196	21	16	5	0.39	0.68	w eː z̪ a b ɯ ɾ s̪ k ɯː h g n̪ p ɴ t̪ j i e iː aː oː o m d̪	a b d d̠ e g h i j k m n ɴ o p s t ts u w z
nucl1643	upsid	nucl1643-384	20	15	5	phoible	nucl1643-2196	21	16	5	0.37	0.75	a b d̪ ɛ g h i j k m n̪ ɴ ɔ p ɾ s̪ t̪ ɯ w z̪	a b d d̠ e g h i j k m n ɴ o p s t ts u w z
jica1244	jipa	jicarillaapache	52	34	18	lapsyd	jicarillaapache_jica1244	50	32	18	0.40	0.77	tʰ kʰ kʷʰ p t d k kʷ ʔ tsʰ tʃʰ ts tʃ tɬʰ tɬ m n j l s z ʃ ʒ x ɣ xʷ ɣʷ ɬ h tʼ kʼ tsʼ tʃʼ tɬʼ iː i ɛː ɛ aː a oː o ɪ ʊ ĩ ɛ̃ ã õ ĩː ɛ̃ː ãː õː	kʷ ẽ kʷʰ tɬ̪ʼ ɣʷ kʼ ts̪ʼ tɬ̪ʰ ɪ j ẽː i ɬ̪ s̪ ã ĩː m p ts̪ʰ tɬ̪ tʃ kʰ ʃ x k e n̪ ɪ̃ t̪ʼ tʃʼ ʒ t̪ eː t̪ʰ oː o a iː z̪ l̪ aː xʷ ʊ ɜ ts̪ õ ɣ d̪ tʃʰ ãː
jica1244	jipa	jicarillaapache	52	34	18	phoible	jica1244-1232	53	34	19	0.50	0.82	tʰ kʰ kʷʰ p t d k kʷ ʔ tsʰ tʃʰ ts tʃ tɬʰ tɬ m n j l s z ʃ ʒ x ɣ xʷ ɣʷ ɬ h tʼ kʼ tsʼ tʃʼ tɬʼ iː i ɛː ɛ aː a oː o ɪ ʊ ĩ ɛ̃ ã õ ĩː ɛ̃ː ãː õː	a ã aː ãː d̪ ə ɛ ɛ̃ ɛː ɛ̃ː ɣ ɣʷ h i iː ɪ ɪ̃ ɪ̃ː j k kʰ kʷ kʷʰ kʼ l̪ ɬ̪ m n̪ o õ oː õː p s̪ ʃ t̪ t̪ʰ tɬ̪ tɬ̪ʰ tɬ̪ʼ ts̪ ts̪ʰ ts̪ʼ tʃ tʃʰ tʃʼ t̪ʼ ʊ x xʷ z̪ ʒ ʔ
jica1244	lapsyd	jicarillaapache_jica1244	50	32	18	phoible	jica1244-1232	53	34	19	0.75	0.89	kʷ ẽ kʷʰ tɬ̪ʼ ɣʷ kʼ ts̪ʼ tɬ̪ʰ ɪ j ẽː i ɬ̪ s̪ ã ĩː m p ts̪ʰ tɬ̪ tʃ kʰ ʃ x k e n̪ ɪ̃ t̪ʼ tʃʼ ʒ t̪ eː t̪ʰ oː o a iː z̪ l̪ aː xʷ ʊ ɜ ts̪ õ ɣ d̪ tʃʰ ãː	a ã aː ãː d̪ ə ɛ ɛ̃ ɛː ɛ̃ː ɣ ɣʷ h i iː ɪ ɪ̃ ɪ̃ː j k kʰ kʷ kʷʰ kʼ l̪ ɬ̪ m n̪ o õ oː õː p s̪ ʃ t̪ t̪ʰ tɬ̪ tɬ̪ʰ tɬ̪ʼ ts̪ ts̪ʰ ts̪ʼ tʃ tʃʰ tʃʼ t̪ʼ ʊ x xʷ z̪ ʒ ʔ
kabi1261	jipa	kabiye	51	26	25	phoible	kabi1261-1142	45	22	23	0.43	0.80	p b t d ʈ ɖ k g kp gb tʃ dʒ m n ɲ ŋ r ɽ f v s z h j w l i ɪ u ʊ a e ɛ o ɔ iː ɪː uː ʊː aː eː ɛː oː ɔː iˠ ɪˠ aˠ eˠ ɛˠ eˠː ɛˠː	a̙ a̙ː a̙ˠ b d dʒ ɖ e eː eˠ ɛ̙ ɛ̙ː ɛ̙ˠ f g gb h i iː iˠ ɪ̙ ɪ̙ː ɪ̙ˠ j kʰ kpʰ l m n ɲ o oː ɔ̙ ɔ̙ː r s tʰ tʃ u uː ʊ̙ ʊ̙ː v w z
